season,week,game_type,home_team,away_team,home_score,away_score
2026,1,REG,DET,MIN,31,19
2026,1,REG,DAL,ATL,17,28
2026,1,REG,BAL,ARI,18,23
2026,1,REG,TB,SF,36,33
2026,2,REG,MIN,DAL,22,29
2026,2,REG,ATL,BAL,28,21
2026,2,REG,ARI,TB,17,19
2026,2,REG,SF,DET,29,34
2026,3,REG,DAL,ATL,14,27
2026,3,REG,BAL,ARI,34,33
2026,3,REG,TB,SF,24,12
2026,3,REG,DET,MIN,20,31
2026,4,REG,ATL,BAL,35,25
2026,4,REG,ARI,TB,16,13
2026,4,REG,SF,DET,25,24
2026,4,REG,MIN,DAL,14,27
2026,5,REG,BAL,ARI,27,10
2026,5,REG,TB,SF,16,21
2026,5,REG,DET,MIN,31,30
2026,5,REG,DAL,ATL,24,17
2026,6,REG,ARI,TB,37,21
2026,6,REG,SF,DET,21,21
2026,6,REG,MIN,DAL,14,17
2026,6,REG,ATL,BAL,26,32
2026,7,REG,TB,SF,31,29
2026,7,REG,DET,MIN,27,12
2026,7,REG,DAL,ATL,23,34
2026,7,REG,BAL,ARI,15,31
2026,8,REG,SF,DET,30,17
2026,8,REG,MIN,DAL,32,30
2026,8,REG,ATL,BAL,15,12
2026,8,REG,ARI,TB,29,34
